Date,SIEMENS.NS,TCS.NS,SIEMENS.NS,TCS.NS,SIEMENS.NS,TCS.NS,NHPC.NS
2025-03-27,5314.14990234375,3606.79248046875,5314.14990234375,3606.79248046875,5314.14990234375,3606.79248046875,80.79295349121094
2025-03-28,5275.35009765625,3562.290283203125,5275.35009765625,3562.290283203125,5275.35009765625,3562.290283203125,81.70743560791016
2025-04-01,5229.9501953125,3507.613525390625,5229.9501953125,3507.613525390625,5229.9501953125,3507.613525390625,81.64779663085938
2025-04-02,5282.85009765625,3500.8466796875,5282.85009765625,3500.8466796875,5282.85009765625,3500.8466796875,83.18851470947266
2025-04-03,5248.5498046875,3361.75927734375,5248.5498046875,3361.75927734375,5248.5498046875,3361.75927734375,84.02347564697266
2025-04-04,4928.14990234375,3259.27099609375,4928.14990234375,3259.27099609375,4928.14990234375,3259.27099609375,82.54240417480469
2025-04-07,2812.449951171875,3234.2294921875,2812.449951171875,3234.2294921875,2812.449951171875,3234.2294921875,82.08516693115234
2025-04-08,2763.449951171875,3252.899658203125,2763.449951171875,3252.899658203125,2763.449951171875,3252.899658203125,83.07917022705078
2025-04-09,2715.85009765625,3207.11328125,2715.85009765625,3207.11328125,2715.85009765625,3207.11328125,83.89425659179688
2025-04-11,2727.800048828125,3192.197021484375,2727.800048828125,3192.197021484375,2727.800048828125,3192.197021484375,83.69544982910156
2025-04-15,2839.5,3208.69384765625,2839.5,3208.69384765625,2839.5,3208.69384765625,84.90814208984375
2025-04-16,2811.5,3233.982666015625,2811.5,3233.982666015625,2811.5,3233.982666015625,84.8087387084961
2025-04-17,2810.0,3258.777099609375,2810.0,3258.777099609375,2810.0,3258.777099609375,84.47078704833984
2025-04-21,2827.0,3281.201416015625,2827.0,3281.201416015625,2827.0,3281.201416015625,87.18441772460938
2025-04-22,2856.5,3274.088623046875,2856.5,3274.088623046875,2856.5,3274.088623046875,89.34141540527344
2025-04-23,2872.0,3371.48974609375,2872.0,3371.48974609375,2872.0,3371.48974609375,89.82848358154297
2025-04-24,2903.5,3360.228271484375,2903.5,3360.228271484375,2903.5,3360.228271484375,88.54621124267578
2025-04-25,2833.5,3406.06396484375,2833.5,3406.06396484375,2833.5,3406.06396484375,85.55424499511719
2025-04-28,2916.5,3401.61865234375,2916.5,3401.61865234375,2916.5,3401.61865234375,86.25005340576172
2025-04-29,2930.0,3430.265869140625,2930.0,3430.265869140625,2930.0,3430.265869140625,86.00154876708984
2025-04-30,2901.5,3411.694580078125,2901.5,3411.694580078125,2901.5,3411.694580078125,85.27592468261719
2025-05-02,2912.5,3389.2705078125,2912.5,3389.2705078125,2912.5,3389.2705078125,84.38131713867188
2025-05-05,2951.699951171875,3412.287109375,2951.699951171875,3412.287109375,2951.699951171875,3412.287109375,84.12287139892578
2025-05-06,2941.10009765625,3417.91796875,2941.10009765625,3417.91796875,2941.10009765625,3417.91796875,81.22037506103516
2025-05-07,2967.199951171875,3403.19921875,2967.199951171875,3403.19921875,2967.199951171875,3403.19921875,82.91019439697266
2025-05-08,2838.60009765625,3406.952880859375,2838.60009765625,3406.952880859375,2838.60009765625,3406.952880859375,79.71942138671875
2025-05-09,2857.199951171875,3398.457763671875,2857.199951171875,3398.457763671875,2857.199951171875,3398.457763671875,77.5027847290039
2025-05-12,2895.89990234375,3576.366943359375,2895.89990234375,3576.366943359375,2895.89990234375,3576.366943359375,82.80084991455078
2025-05-13,2916.699951171875,3472.2490234375,2916.699951171875,3472.2490234375,2916.699951171875,3472.2490234375,83.02946472167969
